"", "Ml", "Ti", "SC", "Ya", "Fi", "Tr", "Ch", "Mn", "To", "Ha"
"Malekula", 0.0, 0.5, 0.6, 4.4, 1.2, 2.0, 3.2, 2.8, 1.9, 5.7
"Tikopia", 0.5, 0.0, 0.3, 4.2, 1.2, 2.0, 2.9, 2.7, 2.0, 5.3
"Santa Cruz", 0.6, 0.3, 0.0, 3.9, 1.6, 1.7, 2.6, 2.4, 2.3, 5.4
"Yap", 4.4, 4.2, 3.9, 0.0, 5.4, 2.5, 1.6, 1.6, 6.1, 7.2
"Lau Fiji", 1.2, 1.2, 1.6, 5.4, 0.0, 3.2, 4.0, 3.9, 0.8, 4.9
"Trobriand", 2.0, 2.0, 1.7, 2.5, 3.2, 0.0, 1.8, 0.8, 3.9, 6.7
"Chuuk", 3.2, 2.9, 2.6, 1.6, 4.0, 1.8, 0.0, 1.2, 4.8, 5.8
"Manus", 2.8, 2.7, 2.4, 1.6, 3.9, 0.8, 1.2, 0.0, 4.6, 6.7
"Tonga", 1.9, 2.0, 2.3, 6.1, 0.8, 3.9, 4.8, 4.6, 0.0, 5.0
"Hawaii", 5.7, 5.3, 5.4, 7.2, 4.9, 6.7, 5.8, 6.7, 5.0, 0.0
