"", "case","response","order","id","age","male","edu","action","intention","contact","story","action2"
"1","cfaqu",4,2,"96;434",14,0,"Middle School",0,0,1,"aqu",1
"2","cfbur",3,31,"96;434",14,0,"Middle School",0,0,1,"bur",1
"3","cfrub",4,16,"96;434",14,0,"Middle School",0,0,1,"rub",1
"4","cibox",3,32,"96;434",14,0,"Middle School",0,1,1,"box",1
"5","cibur",3,4,"96;434",14,0,"Middle School",0,1,1,"bur",1
"6","cispe",3,9,"96;434",14,0,"Middle School",0,1,1,"spe",1
"7","fkaqu",5,29,"96;434",14,0,"Middle School",1,0,0,"aqu",1
"8","fkboa",4,12,"96;434",14,0,"Middle School",1,0,0,"boa",1
"9","fkbox",4,23,"96;434",14,0,"Middle School",1,0,0,"box",1
"10","fkbur",4,22,"96;434",14,0,"Middle School",1,0,0,"bur",1
"11","fkcar",4,27,"96;434",14,0,"Middle School",1,0,0,"car",1
"12","fkspe",4,19,"96;434",14,0,"Middle School",1,0,0,"spe",1
"13","fkswi",4,14,"96;434",14,0,"Middle School",1,0,0,"swi",1
"14","flboa",5,3,"96;434",14,0,"Middle School",0,0,0,"boa",0
"15","flcar",4,18,"96;434",14,0,"Middle School",0,0,0,"car",0
"16","flche",4,15,"96;434",14,0,"Middle School",0,0,0,"che",0
"17","flsha",4,30,"96;434",14,0,"Middle School",0,0,0,"sha",0
"18","flswi",4,5,"96;434",14,0,"Middle School",0,0,0,"swi",0
"19","ikbox",4,1,"96;434",14,0,"Middle School",1,1,0,"box",1
"20","ikbur",3,13,"96;434",14,0,"Middle School",1,1,0,"bur",1
"21","ikpon",3,20,"96;434",14,0,"Middle School",1,1,0,"pon",1
"22","ikshi",3,17,"96;434",14,0,"Middle School",1,1,0,"shi",1
"23","ikspe",4,28,"96;434",14,0,"Middle School",1,1,0,"spe",1
"24","ilbox",4,10,"96;434",14,0,"Middle School",0,1,0,"box",0
"25","ilche",5,6,"96;434",14,0,"Middle School",0,1,0,"che",0
